美容顧問/香水顧問/彩妝顧問 Beauty Consultant,Location not specified,https://hk.jobsdb.com/hk/en/job/%e7%be%8e%e5%ae%b9%e9%a1%a7%e5%95%8f-%e9%a6%99%e6%b0%b4%e9%a1%a7%e5%95%8f-%e5%bd%a9%e5%a6%9d%e9%a1%a7%e5%95%8f-beauty-consultant-100003005987013,School Certificate,Entry Level,null
醫學美容接待員/前台接待員(尖沙咀/銅鑼灣),Causeway Bay,https://hk.jobsdb.com/hk/en/job/%e9%86%ab%e5%ad%b8%e7%be%8e%e5%ae%b9%e6%8e%a5%e5%be%85%e5%93%a1-%e5%89%8d%e5%8f%b0%e6%8e%a5%e5%be%85%e5%93%a1-100003005992408,null,null,Salary negotiable
Sales Executive 銷售代表,Location not specified,https://hk.jobsdb.com/hk/en/job/sales-executive-%e9%8a%b7%e5%94%ae%e4%bb%a3%e8%a1%a8-100003005982709,null,Entry Level,Salary negotiable
店務助理 Shop Assistant,Location not specified,https://hk.jobsdb.com/hk/en/job/%e5%ba%97%e5%8b%99%e5%8a%a9%e7%90%86-shop-assistant-100003005986938,Form 3,Entry Level,Salary provided
收銀員 Cashier,Location not specified,https://hk.jobsdb.com/hk/en/job/%e6%94%b6%e9%8a%80%e5%93%a1-cashier-100003005986999,Form 3,Entry Level,Salary provided
Medical Representative,Kwun Tong,https://hk.jobsdb.com/hk/en/job/medical-representative-100003006011482,Non-Degree Tertiary,Entry Level,Salary provided
Management Trainee（歡迎應屆畢業生／持內地 IANG的畢業生）- 5 day work 20K or above,Quarry Bay,https://hk.jobsdb.com/hk/en/job/management-trainee-100003006011484,Degree,Entry Level,"HK$8,000 - 25,000 /month (includes high commission)"
Customer Service Assistant,Kowloon Bay,https://hk.jobsdb.com/hk/en/job/customer-service-assistant-100003006011478,School Certificate,Middle,"HK$11,000 - 17,000 /month (includes high commission)"
"Recruitment Consultant, Engineering",North Point,https://hk.jobsdb.com/hk/en/job/recruitment-consultant-engineering-100003006011481,Degree,Entry Level,Base salary + high commission
Part Time and Full Time Cashier and Shop Assistant/Sales,Yau Ma Tei,https://hk.jobsdb.com/hk/en/job/part-time-and-full-time-cashier-and-shop-assistant-sales-100003006011475,School Certificate,Entry Level,Salary provided
Assistant SME Business Manager (Ref: SC8024-00-JDB),Location not specified,https://hk.jobsdb.com/hk/en/job/assistant-sme-business-manager-100003006011453,Degree,Entry Level,Salary negotiable
Customer Services Officer (Counter Operations) (Ref: NF8008-00-JDB),Location not specified,https://hk.jobsdb.com/hk/en/job/customer-services-officer-100003006011454,Non-Degree Tertiary,Entry Level,Salary provided
Assistant Credit Execution Manager (Ref: CD8033-00-JDB),Central,https://hk.jobsdb.com/hk/en/job/assistant-credit-execution-manager-100003006011443,Degree,Entry Level,Salary negotiable
Sales Associate - Alfred Dunhill,Location not specified,https://hk.jobsdb.com/hk/en/job/sales-associate-alfred-dunhill-100003006011438,Non-Degree Tertiary,Entry Level,Salary negotiable
Senior Sales Associate / Sales Associate,Location not specified,https://hk.jobsdb.com/hk/en/job/senior-sales-associate-sales-associate-100003006011439,School Certificate,Entry Level,Salary provided
Assistant Boutique Manager,Location not specified,https://hk.jobsdb.com/hk/en/job/assistant-boutique-manager-100003006011440,null,null,Salary provided
Senior Sales Associate/ Sales Associate - A. Lange & Sohne,Location not specified,https://hk.jobsdb.com/hk/en/job/senior-sales-associate-sales-associate-a-lange-sohne-100003006011441,null,Middle level,Salary provided
Sales Associate - Montblanc,Location not specified,https://hk.jobsdb.com/hk/en/job/sales-associate-montblanc-100003006011435,School Certificate,Entry Level,Salary provided
Boutique Supervisor - Montblanc,Location not specified,https://hk.jobsdb.com/hk/en/job/boutique-supervisor-montblanc-100003006011436,Matriculated,Middle level,Salary negotiable
Sales Associate,Location not specified,https://hk.jobsdb.com/hk/en/job/sales-associate-100003006011437,School Certificate,Middle level,Salary negotiable
Boutique Manager,Others - China,https://hk.jobsdb.com/hk/en/job/boutique-manager-100003006011432,null,null,Salary provided
Sales Associate,Location not specified,https://hk.jobsdb.com/hk/en/job/sales-associate-100003006011433,School Certificate,Entry Level,Salary negotiable
Boutique Coordinator,Location not specified,https://hk.jobsdb.com/hk/en/job/boutique-coordinator-100003006011434,Matriculated,Entry Level,Salary negotiable
Panerai Sales Associate / Senior Sales Associate,Location not specified,https://hk.jobsdb.com/hk/en/job/panerai-sales-associate-senior-sales-associate-100003006011428,School Certificate,Middle level,Salary provided
Sales Associate - Jaeger-LeCoultre,Location not specified,https://hk.jobsdb.com/hk/en/job/sales-associate-jaeger-lecoultre-100003006011429,School Certificate,Entry Level,Salary provided
IWC Client Relations Advisor (Sales Associate),Location not specified,https://hk.jobsdb.com/hk/en/job/iwc-client-relations-advisor-100003006011430,School Certificate,Middle level,Salary provided
Cartier - Sales Associate,Location not specified,https://hk.jobsdb.com/hk/en/job/cartier-sales-associate-100003006011431,null,Entry Level,Salary provided
"Management Trainee (HK$30,000-HK$50,000)",Causeway Bay,https://hk.jobsdb.com/hk/en/job/management-trainee-100003006011423,School Certificate,Middle,Salary negotiable
Japanese speaking Customer Service Officer/ Assistant Manager,Admiralty,https://hk.jobsdb.com/hk/en/job/customer-service-officer-assistant-manager-100003006011422,Degree,null,Salary negotiable
